Komentar,Skor
"Hai,maaf saya beri ranting dua,karena saat pembayaran,saya kan lewat cod bayar di tempat kenapa tidak jadi ya",0
Semoga saldo saya bisa di cairkan kendala saya gitu tapi ga ppa mungkin lagi ada gangguan tapi udah 2 minggu,1
aplikasinya jelek!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Tapi boong hayyuk,1
"Alhamdulillah sangat terbantu menentukan pilihan kebutuhan, harga, kualitas dan posisi penyedia",1
"Terima kasih tokopedia, beli pelatihan di tokopedia memang mudah, tokopedia memang the best.",1
"Sekarang mulai sadar lebih baik pake tokped dibanding sh****.Cashback,ongkir dll lbh gede di tokped tp krn market sebelah udh mennag brand+indonesia rasa persatuanny kecil jd gitula.Cintai produk indonesia 😔✊",1
"praktis, dan mudah pembayarannya. karena bisa pakai ovo. puas pakai tokopedia",1
tidak memerima kode otp. via sms. walaupun ada sms namun sudah kadaluarsa. lambat menerima kode sms nya. tidak hanya itu setiap saya tutup apikasi tokopedia dan membuka kembali aplikasi. selalu gagal sambungan internet. padahal sinyal bagus. tapi setelah saya logout lalu login kembali langsung normal begitu seterusnya. semenjak di update. jadi capek.,0
Aplikasi taek . mosok internet lancar kok bolak balik melbu tulisane men sambungan terputus terus !!!,0
belanja selalu lancar dan sangat membantu dari kalangan menengah kebawah makasih Tokopedia sukses selalu aamiin,1
Tolong Saat ada complain barang untuk ongkos kirimnya jg dikembalikan Klo cuman harga produknya yg dibalikin pembeli rugi 2x Udah ongkir pembelian g balik Trs harus retur barang dengan ongkos pribadi lagi Klo ongkir 5rb mending Klo yg ongkir sampe 50rb,1
"Kesekian kalinya , tetep aja kena ANTERAJA (*) Kirim Semarang nyasar sampe BALI (*) nunggu 1 Minggu + JKT - SMG... Berusaha mencoba untuk tetap mau transaksi di TOKOPEDIA walaupun resiko ANTERAJA... ANEHNYA Kok masih dipake ekspedisi ANTERAJA ??? banyak ekspedisi lainnya ongkir bersaing... Pasti bukan Saya saja yg mengalami kendala ANTERAJA... Banyak komplain di play store ANTERAJA ..... TOKOPEDIA bersaing dengan online lainnya , lama2 customer pada pindah ke sebelah , hanya karena EKSPEDISI",0
Saat ingin melakukan memilih jenis pembayaran kok ngga bisa ya. Malah jadi eror. Ini kenapa sih,0
"SAYA SDH PESAN PAKAI COD, TAPI TIBA2 DIBATALKAN GIMANA COBA HAHHH!!!!!APLIKASI S*MP*H@$SJSJAMAM. E-COMMERCE YG MEMUSINGKAN. PDHL SAYA KIRA SUDAH BERESSSS. TRUS VOCHER GBS DIPAKAI LAGI ANJ*NG BGT NI APL!! MENDING BLANJA PAKE OREN. SAYA KECEWA BGT SI. MANA BANTUAN TDK MEMBANTU. PAYAH. KECEWA. DAH AH MALES BGT EMG GA ENAK KLO PKE APP INI BUAT PUSING ISINYA K SMUA DSR. MAAF YA CUMAN SAYA KECEWA KESEL MALES. SY BRU PERTAMA X COBA PKE APP NI, SY KIRA ENAK Y BSA COD TAUNYA DIBATALIN ANJJ BGT SMPH ASV.",0
"Sangat baik adanya vidio ini, karna dapat membantu apabila kita ada kemauan untuk berbisnis kedepan",1
Tolong kembalikan uang saya barang belum dikirim masalah komplainnya terlalu ribet ditokopedia gak bisa mengajukan batal,0
"Sangat kecewa karena sekarang paket bebas ongkir si cepat diganti dengan aneraja , yg pengiriman nya sangat Laamaa",0
"Ecomerce payah beli pulsa transaksi dibatalkan,merugikan biaya admin di potong.",0
knp yeah tokepedia kirimannya lamah amat padahal alamtnya sudah berada di kendari tapi kok blm di kirim di unaaha padahal udah satu minggu udah sampai di kendari kok blm di kirim ke unaaha sih coba jls kan dulu don,1
Ya allah tolong bantu no cs tokopedia mana sih ini hrus verifikasi no trus udh tau no hp sama hpnya ilang disana masih ada dana saya gak bisa narik Tolong lahhh plis,0
APL ini bagus y tapi ada yg salah. Waktu aku memesan barang kan katanya gratis ongkir eh ter nyata ngga,1
"3 kali mau belanja tapi di batalkan terus jd freong nya langsung ilang gitu aja..heran saya,dikira sy gk punya duit bwt belanja (jd pengen sombong )di toko sebelah mah saya udah member gold bambang",0
"aplikasi belanja online yg memberikan kenyamanan,kepuasan dan keamanan yg benar2 ok buat penggunanya",1
Selalu puas tiap belanja disini. Masukan: Promo kejar disko nya supaya lebih menarik lagi barang2nya,1
Parahh susah melakukan pembatalan penjual karna ada kendala lain .. inilah bodoh nya tokopedia .. agkk tololl ya ... Pitur nya kurang lengkap ngk sama selengkap aplikasi shopee bgstt emg .. PANTESAN AJA PERNAH BANGKRUT,0
Saya lia herliana sudah membeli pelatihan disini . Materinya sangat mudah dipahami . Makasih tokpet,1
"hi min, tambahkan tema gelap donk. keren.. aplikasi yang mempermudah hidup ini..",1
Terima kasih ayah telah memberiku mendownload aplikasi Tokopedia karena aku bisa belanja banyak terima kasih juga ayah telah memberiku uang dan trimakasih juga GARENA!!!,1
Saya di suru download aplikasinya Tokopedia karena saya di kasih 3 ratus ribu e ternyata Tokopedia itu bohong..,0
"Belanja di Tokopedia menyenangkan, mudah, cepat, dan barang yg dipesan selalu Ok.",1
Selama ini belum ada kendala... Good lah... Semoga kedepannya gak ada masalah....,1
Saya kasi bintang 5 bila Tokopedia gak ada lagi ekspedisi anter aja Mohon maaf saya sebagai pelanggan setia tokped sangat kecewa  Padahal promo tokped sangat menarik  Apalagi skrang di tambah WIB Tapi semenjak paketan di kirim sama ekspedisi  anter aja pelanggan saya jadi pada kabur  Marketplace sbesar tokped kayanya ekspdesi anter aja belum sesuai deh sama pelayanan nyah pasti banyak yang kecewa 👎,0
Dengan tokopedia dapat memudahkan berbelanja online tanpa perlu keluar rumah apalagi di masa pandemi ini,1
Aplikasi ini sangat bermanfaat dan berguna dan mudah digunakan transaksi nya jugaa sanagt baik..,1
Tokopedia ini sangat bagus dan ada diskon nya gede gedean . terima kasih. telah memuaskan hati pelanggan 😘😘😘😍😍😍,1
"paling suka sama tokped care, karena tiap ada masalah ga pernah lepas tangan dan bantu sampai clear",1
"Belakangan ada gangguan, seperti saldo ovo tidak tampil. Tidak bisa melihat wishlist dan toko favorit. Update tracking barang yang lambat. Mohon diperbaiki",0
"Saya sangat suka dengan pelatihan dari tokopedia, dan mudah di pelajari , untuk pembelanjaan juga sangat mudah , terimaksih tokopedia, selalu jadi aplikasi yg baik dan amanah",1
"parah sumpah, ko tambah jelek aplikasinya sy ga bs liat rating produk saya dan feed nya jg udah ga bs di pk",0
Terimakasih aplikasinya sangat bagus dan membantu yayayaya.. Tetap selalu memberikan yang terbaik,1
"Semoga di tokopedia kedepannya bisa belanja barang dari luar negeri ,minimal Asia dulu lah biar ok",1
"Baru kali ini di kecewakan tokopedia, dan penjual philips store. Pesan barang tgl 27 Nop 2020 hari jumat jam 11, pesanan sdh do terima toko jm 11.57, via same day (grab), brg tdk di kirim pada hari yg sama, sdh chat menanyakan kiriman sampe jm 10 malam, ga ada respon krn mau pergi, jam 8 pagi hari sabtu 28 Nop 2020 ga ada juga info di kirim, akhirnya jm 10 di batalkan tapi ga di proses, jm 14.00 siang baru di cari kurir, berarti komplain ga di tanggapi, sampe tlp driver/kurir dan berganti ganti.",0
"Ngebuks nih min update yg terbaru 13 Des 2020, di menu share nya.. device langsung hangs..",1
"Saya mau login lagi nggak bisa sementara no. Hp yang saya masukkan sudah tidak aktif lagi dan saya harus menunjukkan bukti pembayaran,saya kan bayarnya cod terus saya punya screenshotnya tapi nggak bisa di buat bukti",0
"hallo tokopedia, kok bisa ya nomor handphone orang bisa dipakai buat daftar/login untuk akun tokopedia orang lain?!! karena nomor pribadi saya ada yang memakai, dan baruasan saya cek dia sudah member silver. padahal saya belum pernah daftar/punya akun tokopedia (baru mau daftar ini). dan tidak perna meng-klik apapun apabila ada sms tidak dikenal. ini takutnya dia memakai untuk hal-hal yang merugikan. tolong dong diperbaiki lagi keamanan nya. dan ini bagaimana untuk memblokir nya ya. thx",0
Asalam mualaikum saya keyrel nuriski ilmi ati wau Tokopedia ini sangat bagus saya mau beli perlengkapan sholat biar saya bisa sholat setiap hari,1
"Pengen belanja tapi selalu ada tulisan ""ada gangguan di rumah toped "" what the vak.",0
Tokopedia lebih mudah dan banya diskonnya untuk mendapatkan barang barang sesuai keinginan ku trims tokopedia.,1
"Mohon dibperhatikan untuk menggunakan kurir anter aja,paket saya sudah ada di cirebon dri tggal 1,tpi smpai sekarang blm di antar ke rumah",0
Aplikasi yang sangat membantu untuk mencari Rizky dan buat menambah segi ekonomi,1
"Setiap menyimpan, melakukan pesanan kenapa sllu tertulis barang selalu habis? Ini error atau kenapa? Kalo barang dah habis ngapain masih di pajang,,,mohon perbaikan...",0
"Menurut saya Tokopedia makin mundur & sedikit aneh seperti ada masalah antara tokped dengan ekspedisi, yang ujung-ujungnya konsumen dirugikan. Pengiriman lama banget, sejak posisi barang sudah di kota penerima aja, baru nyampe ke alamat lama. Historinya muter-muter, hari ini antar besok transit. Begitu seterusnya...",0
"Luar biasa , belanja, cepat, hemat dapat cashback. Yukkk mampirr Unboxing setiap hari dari Tokopedia ditayangkan di Yutub",1
"Sangat bagus, tokopedia bukan hanya jasa untuk belanja online tapi juga bisa untuk belajar online",1
"Kurir anteraja tolong segera kirim barang saya ke pulau seribu, udah 10 hari ngejedok digudang.",1
"Tampilan nyaman di mata, mudah, mungkin masalahnya hanya pada transaksi COD yg blm menyeluruh",1
"Makin ke sini makin berat, interface nya juga ga menarik. Nyesel update",0
"User interface baru kurang bagus, ikon terlalu besar di bagian menu utama jadi tidak estetis.",0
"Terima Kasih Tokopedia... Saya sudah melakukan pelatihan, semoga ilmunya berkah dan bermanfaat",1
"agak membingungkan karena barang yang d diskon sama yang enggak kecampur, hampir aja beli yang mahal",0
"Bagus kok, saya sll puas blanja disini ongkirnya lbh bersahabat ada gratisnya lagee, yg kecewa sm kurir ya jgn protes disini mending hub ybs.",1
terimakasih tokepedia pelatihan sangat membantu dalam meningkatkan dan menambah wawasan dan pengetahuan,1
"Tokopedia memang terbaik saya suka sekali aplikasi belanja online ini saya langganan beli pulsa disini mudah banyak diskonnya banyak cashbacknya,, Saya harap tokopedia bisa berikan diskon potongan ongkir lebih besar lagi sebab ongkir pengiriman luar jawa mahal sekali bagi saya, Percuma saya beli barang promo murah tapi terbebani ongkir yang mahal, Kadang saya iri dengan orang yang berada dipulau jawa mereka belanja online mudah sekali ongkir paling mahal 10rb, Sedangkan kami bisa sampai 80rb",1
"Sinyal sudah bagus,tetapi di bagian keranjang tidak bisa di buka karena internet tidak tersambung",0
Tolongb diperbarui ya apk nya karna kalo mau masuk apk nya tu susah saya ngga mau ya kalo gara gara apk ini saya jdi buang buang kuota😠😠😠😠😠😠,0
"Sya senang bangat pesan barang di sini... Tapi sekarang saya kecewa banget, karna barang yang saya pesan belum sampai udah 2 minggu lebih, dan sampai sekarang agen nya belum telfon saya, lagi pula barang yg sya pesan udh saya bayar kes..",0
"Sejak pakai ovo , jadi banyak cashbacknya . Gratis ongkir pula . Mantap dah 👌👌 .",1
Minggu 13 Desember 2020 Tokopedia tidak bisa cek keranjang saya sangat kesal karena saya ingin check out,0
Terima kasih tokopedia.. Beli pelatihan untuk kedua kalinya.. Materi bagus sangat membantu untuk pemula yang ingin memulai online shop.. Materi yang diberikan mudah dipahami jadi tahu tentang badan hukum bisnis. Penyampaian materi di webinar bagus dan mudah untuk di pahami. Sangat bermanfaat bagi pemula yang ingin memulai bisnis baru. Terima kasih tokopedia & Skill Academy,1
"ga nyesel download aplikasi tokopedia dan gampang cara menggunakannya, dan sangat membantu..",1
"Sudah langganan sejak lama. Memang kadang nemu kendala, dari barang hilang di kurir, pesanan gak ada respon, pengiriman lambat tapi it's okay sih. Karena semua bisa diselesaikan pada akhirnya!! Good jobs",1
Keranjang ditokopedianya gak bisa dibuka..gmn ini masa harus beli satu satu....baru juga diupdate,1
"Gapernah dibikin susah, repot terbaik tokopedia. Dan yang ngeluh barangya nga sesuai pesanan ya salahin sellernya lah bgst masa apk nya, nga masuk akal.",1
"Tolong dong min, bantuannya agar sertifikat prakerja saya muncul di dashboard. Karena sudah beberapa bulan saya sdh menyelesaikan semu pelatihan belum juga mendapatkan sertifikat.",1
Mantaaaaaffffff Tokopedia Selalu Ada Dan Selalu Bisa Saya Sering Belanja Di Salah Satu Seller Nama Tokonya TOKO AL-FATTA Adminnya Ramah Dan Profesional Chat Cepat Di Jawab Dan Cepat Dikirim Paket Saya 🙏,1
"Komplain abiz buat tokped dan reseler'y pesen barang di tokped bayar di gerai alfa tiba2 pesanan di batalkan sepihak biaya fee gerai tidak balik sehingga saya harus bayar 2 kali fee di gerai alfa bayangkan kalo kejadian ini kepada 1 juta orang konsumen tokped kali sekian selama 30 hari brp nominalnya,, kemudian pesen lagi pake saldo refund pas liat di detail ngga sesuai dengan saldo jadi berkurang entah sistemnya eror atau gimana kesel jadinya..pesen jadi ngga bisa pake saldo refund..",0
"Tokopedia memang luar biasa, sekali pun belum terlalu pengalaman namun saya kasi lima binta.",1
belanja di tokopedia senang bgt aman..penjual pun ramah..pengiriman cepat..pokoknya mantul deh👍👍,1
"Mudah dalam berbelanja memenuhi keinginan dikala terhimpit kesibukan..leeat aplikasi tokopedia..i like marketplace tokopedia, mudah dan banyak bonusnya",1
Tokopedia bagus Saya penjual sekaligus pembeli. Tlong kurir gratis ongkir nya jangan pake antar aja. Sangat lama. Jabodetabek aja harus berhari2 kami kan penjual tetap bayar kalian potong saldo akhir,0
aplikasi ini sangat jelek sekali!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!¡!!!¡!!!!!!!!!!!!tapi boong hayuk bagus sekali aplikasinya.,1
Saya uninstal tokopedia nya karena banyak toko yg jarang aktif jadi gak bisa beli produk yg saya inginkan🙏,0
"coba dulu klo cocok dan lebih murah,lebih merasuk di hati bintangnya jadi 10,slmat menikmati🙏👍🙏",1
Bagus aplikasi nya .. Pertahankan ya .. lancar jaya tapi tolong dunn saya sudah rating dan riview segera di ceklist,1
"Tolong perbaiki fitur karena kepuasan pelanggan yang utama,jangan mau kalah sama toko oren!",0
"Sangat menyenangkan sekali belanja disini, sudah jadi user menetap dari dlunya, cinta deh sama Tokped",1
"Tiap pembelian tak pernah dapat cashback dengan berbagai alasan, makin yakin pindah ke shopee aja",0
Trimakasih Tokopedia ...yg telah memberikan pelayanan yg terbaik ...selain belanja berbagai macam keperluan sehari2 disamping itu juga telah memberikan pelayanan investasi reksadana dan saham ....sekali lagi tokopedia is the best,1
Saya kasih bintang 4 karena ini aplikasinya sangat bagus. tapi ada kesalahan sedikit dari aplikasi ini kadang-kadang tidak dimengerti kalo saya membeli barang yang saya inginkan jadi tolong sedikit perbaikannya untuk aplikasi ini karena bagi saya aplikasi ini sangat bagus tolong sedikit lagi perbaikannya 😊🙏,1
Sangat bermanfaat rekomended. Segera munculkan sertifikat saya di dashboard!!!,1
"Suka Belanja online, Coba di Aplikasi Tokopedia. Aku Kasi Bintang 4 dulu",1
"lebih baik putuskan kerjasama dengan jasa ekspedisi Antaraja , Percuma gratis ongkir tapi barang statusnya ngga jelas sudah sampai mana dan lama sekali pengirimannya.",0
"Mantap toped,,sukses selalu..pembelian kelas di tokopedia memang ok..cepat dan mudah..",1
Niat sya mau belanja di tokopedia tp app nya ga bisa di buka dan mhn mf terpaksa app tokopedia sya hapus aj lah di hp sya,0
"Terlalu capek bolak balik login Akun sudah terverifikasipun , gak bisa masuk cari barang sebebas dulu",0
Sangat membantu konsumen & memudahkan memenuhi kebutuhan Rumah tangga dll...maju terus Tokopedia,1
"Akun saya dibilang tidak sah menggunakan promo yang ada di tokopedia, padahal saya hampir tidak pernah berbelanja di akses aplikasi tokopedia, dan buat bayar biro jasa tertentu pula eng sering, beli pulsa pun tidak sering, tapi dianggap tidak sah karena akun saya menyalahi aturan tokopedia saat saya mencoba kode promo nya pada beberapa promo yang saya dapat, lalu saya menunggu jawaban nya juga lama kenapa dengan akun saya, tapi tokopedia tidak memberi keterangan mengenai kondisi akun saya",0
Alhamdulillah beli pulsa dpt discount 10rb utk pengguna baru yg blm pernah beli pulsa lewat Tokped.,1
Kirain saya doang yg kecewa dari aplikasi ini. Dari seller sama kurrir nya pun sangat mengesankan,0
Tokopedianya bagus tapi saya kasi bintang 4 karna gak bisa mesan barang dan gak bisa ke keranjang perbaikin dong,1
Bagus banget aplikasi ini sangat bermanfaat saat saya belanja saya sangat senang barang sampai dengan aman terima kasih ya Tokopedia selalu terbaik,1
Tokopedia memberi kemudahan dalam berbelanja dengan CODnya. Terimakasih Tokopedia!,1
"apikasi penipu,,kata ya sya dapat hadiah unduan,,udh sya donwlod apikasi ya ,hadiah ya pun gk ada,,pe bohong,,mau sya hapus aka,apikasi ya,,apikasi gk jelas blokir,,",1
layanan top up nya lama sekali untuk konfirmasi beda dengan S cepet langsung masuk langsung muncul notif,0
"halo kak.. mohon bantuannya 🙏 saya ingin mendaftar akun baru dengan nomor telpon lama saya kembali 🙏 nomor telpon saya yang tertaut di akun lama yang telah di hapus, kenapa tidak bisa daftar akun baru lagi dengan nomor telpon yang sama ?",0
"Respond dr tokopedia care tdk memberikan solusi, dua kali bertransaksi saya tdk mendapatkan cashback, tapi penjelasan dari tokopedia care tidak jelas dan tdk memberikan solusi, ini sangat merugikan",0
Oke karna masalah saya terselesaikan. Saya tambah bintang nya... tolong tingkatkan lagi layanan CS nya... 😊,1
"1. Tampilan aplikasi terlalu warna warni bikin pusing, tolong ubah warna inti logo saja atau warna yang konsisten misal hijau, kuning, putih sesuai logo. 2. Owner toko tidak bisa merubah nama apapun alasannya, padahal alangkah baiknya diberi kesempatan max. 3 untuk pengubahan nama dan dalam jangka 1-3 bulan. 3. INTINYA TOKOPEDIA MINUS DALAM TAMPILAN PENYAJIAN DI APLIKASI.",0
"Sulit saya pahami karena saat saya menonton video nya posisi sinyal kurang baik dan suara yg berisik saat itu,karena saya persisis lagi kerja. Masikah bs saya dibantu ??",1
Kenapa saya kasih bintang lima soalnya jual mobil asli aku suka ❤ dan setiap hari selasa ada diskonnya,1
"Kenapa sih,ketika Mau membeli kelas prakerja Di sini notifikasi ulasan gk pernah bisa Di uptade, Kok beda banget Sama di platform. Yaaah gara-gara itu, Saya tidak bisa membeli kelas Lagi. Tolong donk perbaiki lagiiii Dan atasi segera?!!!!!!",0
"tokopedia memang luar biasa,terima kasih banyak sangat membantu,.banyak kemudahan..mantap",1
"Maaf y kl ulasan y gk menyenangkan, jujur kl blnja ditokopedia ribet banget. Sedangkan dialshop laen koq mudah y...",0
"Sudah lama juga punya akun Toped, tapi saya gak perna belanja paling untuk bayar2, dan selalu setia sm aplikasi sebelah, eh ternyata belanja di toped hampir setiap hari dapt cashback... mantap sekali.... jadi mau pindah deh belanja di Toped... hehehehee pertahankan ya... untuk voucher2 cashbacknya.... 😇😂",1
Keluhan sy sampai detik ini tidak tuntas cuma nominal rupiah saja sanggup kalian makan #mungkin upah bulanan tim tokped kurang#,0
Tempat belanja online terbaik dan terlengkap.bisa bayar ditempat lagi(COD) sukses buat tokopedia,1
barang blm datang blm bisa nilai barang tapi komunikasi saya beri bintang 5 dg ssbarnya nangsni smua masalah. tanks,1
Terimakasih Tokopedia Sudah sangat membantu saya dalam mengikuti pelatihan prakerja semoga saya sukses,1
"Tokopedis bagus dan bagus dan terbukti ,""Ayo Buktikan Sendiri Pasti Puas"" okey",1
Terimakasih tokopedia atas penyediaan pelatihan skillacademy nya. semoga tokopedia selalu jaya dan sukses.,1
"Utk penanganan komplain barang terlalu lama sangat, dr tgl 1 noverber barang retur dan sdh di terima tgl 16 November (proses retur aja smpe 15 hari), dan hr ini tgl 23 November 2020 jam 20:44 blm ada solusinya smpe skrg. Luar biasa lamanya, klo smpe bsk blm ada solusi otomatis uninstal, gk prlu tggu smpe sebulan.....!!",0
Sangat senang sekali berbelanja di sini.. hemat gampang banyak discount nya. top bgt lah.,1
"Sbnarnya ingin ksh bntg 5 karena bagian kmplennya aktf shingga bsa uang kmbali,cma niat orang bli barang itu dapat barang sesuai psanannya bukan urusan ribet tuker2 lagi,Tokopedia belum berhasil menindak oknum2 seller nkal yg sngja jual barang rusak tau sengaja menukar dgn brg lain type y mirip dengan psanan pmblli mungkn barang yg gk lku,karena kmplen saya atas pnjual yg sngja pura2 slh motif alasan edit dan pnchyaan jls2 beda mtif bhn, jk hrs tukr, ongkir dtangung pnjual/ dblok sellerny sj.",0
Kak saldo saya tertahan karena ganti no pas mau tarik saldo . Karena nomor yang dulu tidak ada . Apakah dana itu bisa kembali lagi? Soalnya bukan uang sedikit tolong bantuanya,0
"Punten aku kurangin bintangnya. Soalnya lucu aja gitu udh checkout, keluar kode pembayaran, pas mau bayar lewat m-banking ada gangguan jadi harus nunggu, saat sudah normal (belum lewat batas waktu pembayaran) langsung bayar dan berhasil. Tbtb ada notif transaksi dibatalkan karena stok barang yg diinginkan habis🙃 harusnya kan ngga gitu yaa, harusnya kalau sudah sampai di proses menunggu pembayaran barangnya di keep dong kan. Kalau seperti ini untuk apa batas waktu pembayaran dikasi 24 jam. Hmm..",0
"Toko online tidak jelas sama sekali, pesanan belum saya terima sudah hampir satu bulan dan masalahnya di tutup begitu saja pengembalian dana pun tidak bisa. Sangat tidak recommended mending aplikasi sebelah",0
"Kok pickup kurir nya lama y, sdh 2 expedisi kurir yg berbeda nih yg kedua dan sdh 2hari permintaan pickup belum ada jawaban kepastian juga Tolong admin demi kelancaran bersama Harus rajin chatting ke cs toped nya. Mksh",1
"Tak B-1, saya dapat balesan email 😀..ini pemberian penilaian reting atau dipaksa harus kasih b-5",0
"udah dua kali download , ada gangguan di rumah tokped terus , dicoba berkali kali gak bisa",0
Cukup baik lebih ditingkatkan lagi cara pembayaran dan pengantaran barang pesanan sesuai yg dipilih,0
"Pertama kali belanja pakai Aplikasi ini, sudah excited beli barang hadiah buat adik, pas bayar auto dibatalkan. Sudah senang dapat free ongkir, dan akhirnya gagal belanja Pengalaman terburuk selama belanja di olshop Kecewa banget si, gatau harus gimana. Kenapa harus PHP, dan juga ada acara pembatalan segala. So sad",0
"Udah daftar terus beli eh ternyata pesanan di batal kan otomatis,,, padahal baru pakai aplikasinya😏",0
"pelayanan toko baik dan update, respon penjual baik, penggunaan aplikasi mudah dan praktis",1
Mohon admin bantu saya kenapa tidak bisa dowload aplikasi tokopedia?? Padahal signal bagus,0
Belanja di toko pedia sangat mudah dan juga banyak pengalaman yang dapat di pelajari dari toko pedia,1
Bagus cepat respon... Tolong buat toko toko yg meng iklankan barangnya agar mudah di dipahami...,1
"Saya pelanggan tokopedia,,tpi tolong bwt promo,dan Flash sale,nya lebih bagus,kaya apliakasi sebelah,jngan ngasih flash sale barang2 y kaleng2 aja,",1
Setelah update sering terjadi kesalahan periksa koneksi internet padahal lancar2 aja koneksinya.. segera perbaiki sebelum 12 12,0
Halo min saya disini punya keluhan disini pembayaran saya dibatalkan otomatis oleh tokopedia. Karna katanya kesamaan identitas. Walaupun dibatalkan setidaknya kan ada pengembalian dana tapi kenapa tidak mendapatkan dana yang sudah diberikan. Tolong kembalikan dana saya,0
"Suka bgt pokoknya gak tau deh selalu belanja trus ditokopedia ,tokopedia the best pokoknya adain flash sale hp ip dong min ♥️ apk nya gak ribet super bisa dipahami tanpa kendala juara selalu tokopedia😭",1
Beli di Tokopedia selalu memuaskan dan cara pembayaran skr lebih mudah drpd yg dulu mantap...👍,1
Jadi malas mau lanjut belanja nya..masa belanja 50 rb doank..harus transper tau kan kondisi lagi pandemi begini..harus nya apapun belanja nya berapapun jumlah nya bisa cod donk...kaya app yg lain..,0
"Kasih lah bonus apa gtu untuk pengguna yg update aplikasi, apresiasi bwt pengguna yg sudah setia.",0
"Rule no. 1 : Jangan pernah buang nota kalian, sesepele apapun transaksinya. itu penting",1
"Saya blm punya pengalaman di Tokopedia , katanya dapet kupon mana ini!!!",0
"makin kesini makin jelek sistemnya ,,seler menjual barang yang tidak bisa pakai dikasih nomor whataap untuk complaint ,giliran di chat di jelasin minta di refund dana malah tidak ada respon ,tolong admin tokopedia gimana ini ,,,beli barang 300 rb tapi tidak bisa di gunain ,,menunggu corfimasi sampai kapan ,,,tolong di refund dong dana saya sudah complain belom ada respon juga ,,padahal sudah sering belanja di tokopedia lohh ,,,karena ini barang elektonik saya minta di refund ajaa dehh tolong..",0
Sangat menarik dan sangat memuaskan dapat membantu dan menambah wawasan dalam bidang keahlian penjualan,1
